City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,sao joao da barra,-21.6403,-41.0511,23.05,88,15,7.29,BR,1691532688
318,smithers,54.7804,-127.1743,19.18,63,100,6.17,CA,1691533276
319,aoulef,26.9667,1.0833,38.01,14,0,7.79,DZ,1691533276
320,gay,51.4666,58.4552,12.29,89,3,3.26,RU,1691533276
321,miramichi,47.0043,-65.4654,15.7,97,100,3.89,CA,1691533143
322,alice springs,-23.7,133.8833,8.75,66,0,2.57,AU,1691532733
323,khandyga,62.6667,135.6,15.25,59,89,0.16,RU,1691533276
324,katabu,-4.9333,122.5167,22.93,88,62,2.82,ID,1691533276
325,ust'-kulom,61.6864,53.6902,12.75,82,43,1.72,RU,1691533277
326,rifle,39.5347,-107.7831,30.33,8,0,5.66,US,1691533277
327,sao miguel do guama,-1.6267,-47.4833,24.3,95,58,2.29,BR,1691533277
328,illizi,26.4833,8.4667,34.89,20,20,8.67,DZ,1691533277
329,fortuna,40.5982,-124.1573,22.18,75,0,6.17,US,1691532753
330,acarau,-2.8856,-40.12,25.9,82,41,8.71,BR,1691532923
331,maxixe,-23.8597,35.3472,18.89,76,10,3.89,MZ,1691533277
332,saint-francois,46.4154,3.9054,15.69,77,0,1.03,FR,1691532935
333,broken hill,-31.95,141.4333,9.98,56,6,4.1,AU,1691533277
334,sitka,57.0531,-135.33,15.94,77,100,1.54,US,1691532923
335,launceston,-41.45,147.1667,7.31,100,75,3.09,AU,1691533277
336,badger,64.8,-147.5333,20.63,89,100,3.09,US,1691532719
337,kulhudhuffushi,6.6221,73.07,27.71,78,100,5.83,MV,1691533278
338,pago pago,-14.2781,-170.7025,30.55,79,20,4.63,AS,1691533278
339,ca mau,9.1769,105.15,25.66,87,4,2.01,VN,1691533278
340,mana,5.6592,-53.7767,26.19,85,89,3.91,GF,1691533278
341,nogliki,51.8333,143.1667,15.46,72,100,0.34,RU,1691533166
342,puerto francisco de orellana,-0.4667,-76.9667,30.03,62,75,1.54,EC,1691533278
343,santo antonio do sudoeste,-26.0736,-53.7253,17.7,94,100,1.95,BR,1691533278
344,hawkesbury,45.6001,-74.616,23.36,85,98,4.15,CA,1691533279
345,les cayes,18.2,-73.75,29.79,74,53,3.23,HT,1691532928
346,talara,-4.5772,-81.2719,26.42,69,0,6.54,PE,1691533279
347,valdez,1.2492,-78.9831,27.15,79,99,5.28,EC,1691533279
348,colonia,50.9333,6.95,16.09,88,75,2.06,DE,1691532784
349,bogale,16.2833,95.4,25.68,92,100,3.89,MM,1691533279
350,olyokminsk,60.3736,120.4264,17.61,78,66,1.81,RU,1691533279
351,samarinda,-0.5,117.15,22.51,94,35,0.95,ID,1691533209
352,highland city,27.9653,-81.8779,36.68,61,40,5.14,US,1691533279
353,sorong,-0.8833,131.25,24.28,87,100,6.0,ID,1691533279
354,grafenhainichen,51.7333,12.45,15.72,74,83,1.34,DE,1691533279
355,pangkalanbuun,-2.6833,111.6167,22.26,92,89,1.12,ID,1691533279
356,olinda,-8.0089,-34.8553,25.85,78,40,3.09,BR,1691533280
357,vilyuchinsk,52.9306,158.4028,15.15,55,53,2.03,RU,1691532943
358,houlton,46.1262,-67.8403,17.23,94,100,2.57,US,1691533280
359,susuman,62.7833,148.1667,8.58,55,95,0.26,RU,1691533118
360,arteche,12.2645,125.4048,26.67,84,91,2.87,PH,1691533280
361,mumford,5.2618,-0.759,24.0,91,62,6.08,GH,1691533280
362,kudahuvadhoo,2.6708,72.8944,27.28,76,94,2.58,MV,1691533280
363,lynchburg,37.4138,-79.1423,27.95,60,0,2.57,US,1691533200
